ID,RIO,COORD- X,COORD- Y,PUNTO,AÑOS,Nivel 10,Nivel 9,Nivel 8,Nivel 7,Nivel 6,Nivel 5,Nivel 4,Nivel 3,Nivel 2,Nivel 1,RIQUEZA ABSOLUTA,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col.1,Clasificar
111,RIO HUASAGA,-2.717752305,-77.0210032,P1,09/04/2021,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
112,RIO HUASAGA,-2.671703638,-77.08952686,P2,09/04/2021,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
113,RIO HUASAGA,-2.63919923,-77.15375553,P3,09/04/2021,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
114,RIO HUASAGA,-2.575119785,-77.17003232,P4,09/04/2021,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
115,RIO HUASAGA,-2.524143278,-77.18293496,P5,09/04/2021,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
116,RIO CHAPIZA,-2.880025048,-77.89806561,P1,09/07/2021,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
117,RIO CHAPIZA,-2.806998637,-77.89395636,P2,09/07/2021,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
118,RIO CHAPIZA,-2.765864358,-77.89432128,P3,09/07/2021,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
119,RIO CHAPIZA,-2.714931297,-77.90954739,P4,09/07/2021,11,6,8,3,9,0,0,0,0,0,37,1.68,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
120,RIO CHAPIZA,-2.693626541,-77.96585626,P5,09/07/2021,14,3,4,4,5,0,0,0,0,0,30,1.86,Contaminación moderada,,64,Aguas ligeramente contaminadas,2
121,RIO HUASAGA,-2.717752305,-77.0210032,P1,01/08/2022,9,0,8,6,8,6,0,5,0,0,42,1.77,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
122,RIO HUASAGA,-2.671703638,-77.08952686,P2,01/08/2022,1,6,4,14,6,0,0,0,0,0,31,1.66,Contaminación moderada,,47,Aguas moderadamente contaminadas,3
123,RIO HUASAGA,-2.63919923,-77.15375553,P3,01/08/2022,14,9,8,13,0,5,0,0,0,0,49,1.93,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
124,RIO HUASAGA,-2.575119785,-77.17003232,P4,01/08/2022,12,8,5,11,0,0,0,0,0,0,36,1.72,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
125,RIO HUASAGA,-2.524143278,-77.18293496,P5,01/08/2022,0,8,9,7,0,6,0,2,0,0,32,1.52,Contaminación moderada,,32,Aguas muy contaminadas,4
126,RIO CHAPIZA,-2.880025048,-77.89806561,P1,01/10/2022,0,9,8,7,2,5,0,0,0,0,31,1.67,Contaminación moderada,,42,Aguas moderadamente contaminadas,3
127,RIO CHAPIZA,-2.806998637,-77.89395636,P2,01/10/2022,9,9,13,3,3,1,0,0,0,0,38,1.82,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
128,RIO CHAPIZA,-2.765864358,-77.89432128,P3,01/10/2022,21,0,0,13,0,3,0,0,0,0,37,1.93,Contaminación moderada,,66,Aguas ligeramente contaminadas,2
129,RIO CHAPIZA,-2.714931297,-77.90954739,P4,01/10/2022,10,3,6,4,0,8,0,2,0,0,33,1.81,Contaminación moderada,,52,Aguas moderadamente contaminadas,3
130,RIO CHAPIZA,-2.693626541,-77.96585626,P5,01/10/2022,6,9,3,8,5,0,9,0,2,0,42,1.84,Contaminación moderada,,46,Aguas moderadamente contaminadas,3
131,RIO HUASAGA,-2.717752305,-77.0210032,P1,05/09/2022,0,5,9,5,1,0,2,0,0,0,22,1.55,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
132,RIO HUASAGA,-2.671703638,-77.08952686,P2,05/09/2022,1,9,15,11,0,0,0,0,0,0,36,1.95,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
133,RIO HUASAGA,-2.63919923,-77.15375553,P3,05/09/2022,18,8,1,1,2,3,0,0,0,0,33,1.83,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
134,RIO HUASAGA,-2.575119785,-77.17003232,P4,05/09/2022,0,6,3,9,8,2,3,0,0,0,31,1.66,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
135,RIO HUASAGA,-2.524143278,-77.18293496,P5,05/09/2022,9,9,0,5,3,0,1,0,3,0,30,1.79,Contaminación moderada,,48,Aguas moderadamente contaminadas,3
136,RIO CHAPIZA,-2.880025048,-77.89806561,P1,05/11/2022,12,7,12,12,0,0,0,0,0,0,43,1.71,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
137,RIO CHAPIZA,-2.806998637,-77.89395636,P2,05/11/2022,4,14,0,4,9,0,1,0,2,0,34,1.83,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
138,RIO CHAPIZA,-2.765864358,-77.89432128,P3,05/11/2022,16,8,9,16,0,1,3,0,0,0,53,2.26,Contaminación moderada,,85,Aguas ligeramente contaminadas,2
139,RIO CHAPIZA,-2.714931297,-77.90954739,P4,05/11/2022,9,9,8,4,3,0,0,0,0,0,33,1.86,Contaminación moderada,,58,Aguas moderadamente contaminadas,3
140,RIO CHAPIZA,-2.693626541,-77.96585626,P5,05/11/2022,8,13,8,8,0,0,0,0,0,0,37,1.86,Contaminación moderada,,70,Aguas ligeramente contaminadas,2
